gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20120905_DAL@NYG,2,39,14,NYG,DAL,4,4,4,(9:14) L.Tynes 22 yard field goal is GOOD Center-Z.DeOssie Holder-S.Weatherford.,0,0,2012
20120905_DAL@NYG,2,39,14,NYG,DAL,,,4,L.Tynes kicks 67 yards from NYG 35 to DAL -2. F.Jones to DAL 20 for 22 yards (W.Hill).,3,0,2012
20120905_DAL@NYG,2,39,5,DAL,NYG,1,10,80,(9:05) D.Murray right tackle to DAL 22 for 2 yards (M.Coe K.Rivers).,0,3,2012
20120905_DAL@NYG,2,38,33,DAL,NYG,2,8,78,(8:33) T.Romo pass short left to J.Hanna to DAL 32 for 10 yards (K.Rivers).,0,3,2012
20120905_DAL@NYG,2,37,59,DAL,NYG,1,10,68,(7:59) D.Murray right tackle to DAL 35 for 3 yards (R.Bernard J.Pierre-Paul).,0,3,2012
20120905_DAL@NYG,2,37,20,DAL,NYG,2,7,65,(7:20) PENALTY on DAL-D.Free False Start 5 yards enforced at DAL 35 - No Play.,0,3,2012
20120905_DAL@NYG,2,36,52,DAL,NYG,2,12,70,(6:52) D.Murray left guard to DAL 27 for -3 yards (J.Pierre-Paul).,0,3,2012
20120905_DAL@NYG,2,36,6,DAL,NYG,3,15,73,(6:06) (Shotgun) T.Romo pass short left to K.Ogletree to DAL 36 for 9 yards (M.Coe).,0,3,2012
20120905_DAL@NYG,2,35,28,DAL,NYG,4,6,64,(5:28) C.Jones punts 48 yards to NYG 16 Center-L.Ladouceur fair catch by D.Hixon.,0,3,2012
20120905_DAL@NYG,2,35,18,NYG,DAL,1,10,84,(5:18) A.Bradshaw left guard to NYG 16 for no gain (B.Carter).,3,0,2012
20120905_DAL@NYG,2,34,37,NYG,DAL,2,10,84,(4:37) A.Bradshaw right end to NYG 18 for 2 yards (K.Coleman A.Spencer).,3,0,2012
20120905_DAL@NYG,2,33,50,NYG,DAL,3,8,82,(3:50) (Shotgun) E.Manning pass incomplete deep right to M.Bennett.,3,0,2012
20120905_DAL@NYG,2,33,42,NYG,DAL,4,8,82,(3:42) S.Weatherford punts 54 yards to DAL 28 Center-Z.DeOssie. D.Bryant ran ob at DAL 27 for -1 yards.,3,0,2012
20120905_DAL@NYG,2,33,34,DAL,NYG,1,10,73,(3:34) PENALTY on DAL-T.Smith False Start 5 yards enforced at DAL 27 - No Play.,0,3,2012
20120905_DAL@NYG,2,33,34,DAL,NYG,1,15,78,(3:34) T.Romo pass short left to D.Bryant ran ob at DAL 35 for 13 yards.,0,3,2012
20120905_DAL@NYG,2,33,11,DAL,NYG,2,2,65,(3:11) T.Romo pass short left to J.Witten to DAL 38 for 3 yards (C.Blackburn M.Coe).,0,3,2012
20120905_DAL@NYG,2,32,34,DAL,NYG,1,10,62,(2:34) D.Murray left guard to DAL 47 for 9 yards (K.Phillips).,0,3,2012
20120905_DAL@NYG,2,32,4,DAL,NYG,2,1,53,(2:04) T.Romo pass incomplete short right to K.Ogletree.,0,3,2012
20120905_DAL@NYG,2,31,59,DAL,NYG,3,1,53,(1:59) (Shotgun) T.Romo pass deep right to D.Bryant to NYG 15 for 38 yards (K.Phillips).,0,3,2012
20120905_DAL@NYG,2,31,15,DAL,NYG,1,10,15,(1:15) (Shotgun) T.Romo pass short right to K.Ogletree to NYG 10 for 5 yards (J.Williams).,0,3,2012
20120905_DAL@NYG,2,31,7,DAL,NYG,2,5,10,(1:07) (Shotgun) T.Romo pass short middle to K.Ogletree for 10 yards TOUCHDOWN.,0,3,2012
20120905_DAL@NYG,2,31,7,DAL,NYG,,,10,D.Bailey extra point is GOOD Center-L.Ladouceur Holder-C.Jones.,0,3,2012
20120905_DAL@NYG,2,31,7,DAL,NYG,,,10,D.Bailey kicks 67 yards from DAL 35 to NYG -2. D.Wilson to NYG 30 for 32 yards (B.Church).,7,3,2012
20120905_DAL@NYG,2,30,54,NYG,DAL,1,10,70,(:54) (Shotgun) E.Manning pass incomplete short left to V.Cruz.,3,7,2012
20120905_DAL@NYG,2,30,48,NYG,DAL,2,10,70,(:48) (Shotgun) E.Manning sacked at NYG 24 for -6 yards (D.Ware).,3,7,2012
20120905_DAL@NYG,2,30,4,NYG,DAL,3,16,76,(:04) (Shotgun) A.Bradshaw up the middle to NYG 29 for 5 yards (A.Spencer).,3,7,2012
20120905_DAL@NYG,3,30,0,NYG,DAL,,,76,L.Tynes kicks 73 yards from NYG 35 to DAL -8. F.Jones Touchback.,3,7,2012
20120905_DAL@NYG,3,30,0,DAL,NYG,1,10,80,(15:00) T.Romo pass short right to D.Murray to DAL 29 for 9 yards (M.Kiwanuka J.Tuck).,7,3,2012
20120905_DAL@NYG,3,29,25,DAL,NYG,2,1,71,(14:25) D.Murray left guard to DAL 31 for 2 yards (J.Pierre-Paul J.Williams).,7,3,2012
20120905_DAL@NYG,3,28,42,DAL,NYG,1,10,69,(13:42) T.Romo pass short left to D.Murray to DAL 31 for no gain (A.Rolle).,7,3,2012
20120905_DAL@NYG,3,28,0,DAL,NYG,2,10,69,(13:00) D.Murray left tackle to DAL 40 for 9 yards (A.Rolle J.Williams).,7,3,2012
20120905_DAL@NYG,3,27,8,DAL,NYG,3,1,60,(12:08) D.Murray left end to DAL 44 for 4 yards (A.Rolle).,7,3,2012
20120905_DAL@NYG,3,26,27,DAL,NYG,1,10,56,(11:27) T.Romo pass incomplete short middle to F.Jones.,7,3,2012
20120905_DAL@NYG,3,26,20,DAL,NYG,2,10,56,(11:20) T.Romo pass short right to D.Bryant to NYG 40 for 16 yards (A.Rolle).,7,3,2012
20120905_DAL@NYG,3,25,42,DAL,NYG,1,10,40,(10:42) T.Romo pass incomplete short left to J.Witten.,7,3,2012
20120905_DAL@NYG,3,25,32,DAL,NYG,2,10,40,(10:32) T.Romo pass deep right to K.Ogletree for 40 yards TOUCHDOWN.,7,3,2012
20120905_DAL@NYG,3,25,32,DAL,NYG,,,40,D.Bailey extra point is GOOD Center-L.Ladouceur Holder-C.Jones.,7,3,2012
20120905_DAL@NYG,3,25,32,DAL,NYG,,,40,D.Bailey kicks 61 yards from DAL 35 to NYG 4. A.Brown to NYG 11 for 7 yards (J.Hanna A.Albright).,14,3,2012
20120905_DAL@NYG,3,25,19,NYG,DAL,1,10,89,(10:19) (Shotgun) E.Manning pass short right to D.Hixon to NYG 23 for 12 yards (B.Carter).,3,14,2012
20120905_DAL@NYG,3,24,47,NYG,DAL,1,10,77,(9:47) A.Bradshaw left guard to NYG 25 for 2 yards (J.Hatcher).,3,14,2012
20120905_DAL@NYG,3,24,11,NYG,DAL,2,8,75,(9:11) E.Manning pass short right to M.Bennett pushed ob at NYG 37 for 12 yards (A.Spencer; B.Church). PENALTY on NYG-V.Cruz Illegal Block Above the Waist 10 yards enforced at NYG 37.,3,14,2012
20120905_DAL@NYG,3,23,46,NYG,DAL,2,6,73,(8:46) (Shotgun) E.Manning pass short right to A.Bradshaw to NYG 33 for 6 yards (S.Lee).,3,14,2012
20120905_DAL@NYG,3,22,52,NYG,DAL,1,10,67,(7:52) E.Manning pass short left to H.Nicks to NYG 45 for 12 yards (M.Claiborne).,3,14,2012
20120905_DAL@NYG,3,22,20,NYG,DAL,1,10,55,(7:20) A.Bradshaw left end to 50 for 5 yards (G.Sensabaugh).,3,14,2012
20120905_DAL@NYG,3,21,48,NYG,DAL,2,5,50,(6:48) E.Manning pass short right to H.Hynoski to DAL 49 for 1 yard (A.Spencer) [V.Butler].,3,14,2012
20120905_DAL@NYG,3,21,9,NYG,DAL,3,4,49,(6:09) (Shotgun) E.Manning pass deep left to D.Hixon to DAL 10 for 39 yards (M.Silva).,3,14,2012
20120905_DAL@NYG,3,20,19,NYG,DAL,1,10,10,(5:19) A.Bradshaw left tackle for 10 yards TOUCHDOWN.,3,14,2012
20120905_DAL@NYG,3,20,19,NYG,DAL,,,10,L.Tynes extra point is GOOD Center-Z.DeOssie Holder-S.Weatherford.,3,14,2012
20120905_DAL@NYG,3,20,19,NYG,DAL,,,10,L.Tynes kicks 70 yards from NYG 35 to DAL -5. F.Jones to DAL 20 for 25 yards (J.Williams S.Paysinger).,10,14,2012
20120905_DAL@NYG,3,20,4,DAL,NYG,1,10,80,(5:04) T.Romo pass short middle to J.Witten to DAL 27 for 7 yards (J.Williams).,14,10,2012
20120905_DAL@NYG,3,19,35,DAL,NYG,2,3,73,(4:35) D.Murray right end to NYG 25 for 48 yards (A.Rolle).,14,10,2012
20120905_DAL@NYG,3,18,42,DAL,NYG,1,10,25,(3:42) T.Romo pass short middle to J.Phillips to NYG 19 for 6 yards (C.Blackburn).,14,10,2012
20120905_DAL@NYG,3,17,53,DAL,NYG,2,4,19,(2:53) (Shotgun) T.Romo scrambles up the middle to NYG 10 for 9 yards (M.Coe).,14,10,2012
20120905_DAL@NYG,3,17,20,DAL,NYG,1,10,10,(2:20) D.Murray up the middle to NYG 6 for 4 yards (K.Rivers C.Blackburn).,14,10,2012
20120905_DAL@NYG,3,16,33,DAL,NYG,2,6,6,(1:33) (Shotgun) T.Romo sacked at NYG 15 for -9 yards (L.Joseph).,14,10,2012
20120905_DAL@NYG,3,15,53,DAL,NYG,3,15,15,(:53) (Shotgun) T.Romo pass incomplete short middle to K.Ogletree (M.Coe).,14,10,2012
20120905_DAL@NYG,3,15,45,DAL,NYG,4,15,15,(:45) D.Bailey 33 yard field goal is GOOD Center-L.Ladouceur Holder-C.Jones.,14,10,2012
20120905_DAL@NYG,3,15,45,DAL,NYG,,,15,D.Bailey kicks 69 yards from DAL 35 to NYG -4. A.Brown to NYG 18 for 22 yards (M.Silva).,17,10,2012
20120905_DAL@NYG,3,15,34,NYG,DAL,1,10,82,(:34) A.Bradshaw left tackle to NYG 23 for 5 yards (M.Spears).,10,17,2012
20120905_DAL@NYG,4,15,0,NYG,DAL,2,5,77,(15:00) E.Manning pass incomplete short right to V.Cruz.,10,17,2012
20120905_DAL@NYG,4,14,55,NYG,DAL,3,5,77,(14:55) (Shotgun) E.Manning pass incomplete short left to A.Bradshaw [J.Hatcher]. PENALTY on DAL-J.Hatcher Roughing the Passer 15 yards enforced at NYG 23 - No Play.,10,17,2012
20120905_DAL@NYG,4,14,49,NYG,DAL,1,10,62,(14:49) A.Bradshaw right tackle to NYG 38 for no gain (B.Carter).,10,17,2012
20120905_DAL@NYG,4,14,13,NYG,DAL,2,10,62,(14:13) E.Manning pass short right to B.Pascoe to NYG 44 for 6 yards (S.Lee).,10,17,2012
20120905_DAL@NYG,4,13,28,NYG,DAL,3,4,56,(13:28) (Shotgun) E.Manning sacked at NYG 39 for -5 yards (J.Hatcher).,10,17,2012
20120905_DAL@NYG,4,13,17,NYG,DAL,4,9,61,(13:17) S.Weatherford punts 46 yards to DAL 15 Center-Z.DeOssie. D.Harris to DAL 18 for 3 yards (S.Brown).,10,17,2012
20120905_DAL@NYG,4,13,3,DAL,NYG,1,10,82,(13:03) D.Murray up the middle to DAL 23 for 5 yards (J.Tryon M.Kuhn).,17,10,2012
20120905_DAL@NYG,4,12,14,DAL,NYG,2,5,77,(12:14) (Shotgun) PENALTY on DAL-T.Romo Delay of Game 5 yards enforced at DAL 23 - No Play.,17,10,2012
20120905_DAL@NYG,4,12,0,DAL,NYG,2,10,82,(12:00) (Shotgun) T.Romo pass short left to K.Ogletree to DAL 32 for 14 yards (A.Rolle J.Tryon).,17,10,2012
20120905_DAL@NYG,4,11,27,DAL,NYG,1,10,68,(11:27) D.Murray left tackle to DAL 37 for 5 yards (M.Boley J.Tuck).,17,10,2012
20120905_DAL@NYG,4,10,46,DAL,NYG,2,5,63,(10:46) T.Romo pass deep right to M.Austin to NYG 43 for 20 yards (C.Webster).,17,10,2012
20120905_DAL@NYG,4,10,11,DAL,NYG,1,10,43,(10:11) D.Murray left tackle to NYG 34 for 9 yards (A.Rolle).,17,10,2012
20120905_DAL@NYG,4,9,33,DAL,NYG,2,1,34,(9:33) D.Murray right guard to NYG 38 for -4 yards (M.Boley). PENALTY on NYG-L.Joseph Defensive Offside 5 yards enforced at NYG 34 - No Play.,17,10,2012
20120905_DAL@NYG,4,9,8,DAL,NYG,1,10,29,(9:08) PENALTY on DAL-T.Smith False Start 5 yards enforced at NYG 29 - No Play.,17,10,2012
20120905_DAL@NYG,4,8,45,DAL,NYG,1,15,34,(8:45) (Shotgun) T.Romo pass short right to M.Austin to NYG 24 for 10 yards (O.Umenyiora).,17,10,2012
20120905_DAL@NYG,4,8,4,DAL,NYG,2,5,24,(8:04) D.Murray left tackle to NYG 22 for 2 yards (M.Boley C.Blackburn). PENALTY on DAL-D.Bryant Illegal Motion 5 yards enforced at NYG 24 - No Play.,17,10,2012
20120905_DAL@NYG,4,7,48,DAL,NYG,2,10,29,(7:48) D.Murray left tackle to NYG 14 for 15 yards (C.Webster).,17,10,2012
20120905_DAL@NYG,4,7,8,DAL,NYG,1,10,14,(7:08) D.Murray left end to NYG 11 for 3 yards (C.Blackburn). PENALTY on DAL-M.Bernadeau Illegal Use of Hands 10 yards enforced at NYG 14 - No Play.,17,10,2012
20120905_DAL@NYG,4,6,39,DAL,NYG,1,20,24,(6:39) T.Romo pass short right to K.Ogletree to NYG 8 for 16 yards (J.Tryon). PENALTY on DAL-D.Free Offensive Holding 10 yards enforced at NYG 24 - No Play.,17,10,2012
20120905_DAL@NYG,4,6,12,DAL,NYG,1,30,34,(6:12) T.Romo pass deep left to M.Austin for 34 yards TOUCHDOWN.,17,10,2012
20120905_DAL@NYG,4,6,12,DAL,NYG,,,34,D.Bailey extra point is GOOD Center-L.Ladouceur Holder-C.Jones.,17,10,2012
20120905_DAL@NYG,4,6,12,DAL,NYG,,,34,D.Bailey kicks 63 yards from DAL 35 to NYG 2. D.Wilson to NYG 21 for 19 yards (G.Sensabaugh).,24,10,2012
20120905_DAL@NYG,4,5,51,NYG,DAL,1,10,79,(5:51) (Shotgun) E.Manning pass short middle to A.Bradshaw to NYG 30 for 9 yards (O.Scandrick J.Hatcher).,10,24,2012
20120905_DAL@NYG,4,5,21,NYG,DAL,2,1,70,(5:21) (No Huddle Shotgun) E.Manning pass incomplete short right to D.Hixon (B.Carr).,10,24,2012
20120905_DAL@NYG,4,5,14,NYG,DAL,3,1,70,(5:14) (Shotgun) A.Bradshaw right guard to DAL 37 for 33 yards (S.Lee).,10,24,2012
20120905_DAL@NYG,4,4,44,NYG,DAL,1,10,37,(4:44) (No Huddle Shotgun) E.Manning pass incomplete short middle to M.Bennett.,10,24,2012
20120905_DAL@NYG,4,4,38,NYG,DAL,2,10,37,(4:38) (Shotgun) E.Manning pass incomplete deep left to V.Cruz.,10,24,2012
20120905_DAL@NYG,4,4,30,NYG,DAL,3,10,37,(4:30) (Shotgun) E.Manning pass short right to H.Nicks to DAL 29 for 8 yards (M.Claiborne).,10,24,2012
20120905_DAL@NYG,4,4,3,NYG,DAL,4,2,29,(4:03) (Shotgun) E.Manning pass short middle to V.Cruz to DAL 22 for 7 yards (S.Lee). Penalty on DAL-D.Ware Defensive Offside declined.,10,24,2012
20120905_DAL@NYG,4,3,56,NYG,DAL,1,10,22,(3:56) (No Huddle Shotgun) E.Manning pass incomplete deep middle to D.Hixon.,10,24,2012
20120905_DAL@NYG,4,3,51,NYG,DAL,2,10,22,(3:51) (Shotgun) E.Manning pass short left to D.Hixon to DAL 18 for 4 yards (S.Lee).,10,24,2012
20120905_DAL@NYG,4,3,27,NYG,DAL,3,6,18,(3:27) (Shotgun) E.Manning pass short right to V.Cruz to DAL 13 for 5 yards (B.Carr).,10,24,2012
20120905_DAL@NYG,4,3,5,NYG,DAL,4,1,13,(3:05) (No Huddle Shotgun) A.Bradshaw left tackle to DAL 9 for 4 yards (S.Lee A.Spencer).,10,24,2012
20120905_DAL@NYG,4,2,42,NYG,DAL,1,9,9,(2:42) (No Huddle Shotgun) E.Manning pass short middle to M.Bennett for 9 yards TOUCHDOWN. Penalty on DAL-B.Church Defensive Pass Interference declined.,10,24,2012
20120905_DAL@NYG,4,2,42,NYG,DAL,,,9,L.Tynes extra point is GOOD Center-Z.DeOssie Holder-S.Weatherford.,10,24,2012
20120905_DAL@NYG,4,2,42,NYG,DAL,,,9,L.Tynes kicks 53 yards from NYG 35 to DAL 12. F.Jones to DAL 26 for 14 yards (S.Brown).,17,24,2012
20120905_DAL@NYG,4,2,31,DAL,NYG,1,10,74,(2:31) D.Murray right tackle to DAL 27 for 1 yard (J.Pierre-Paul J.Tuck).,24,17,2012
20120905_DAL@NYG,4,2,26,DAL,NYG,2,9,73,(2:26) D.Murray right tackle to DAL 34 for 7 yards (C.Blackburn).,24,17,2012
20120905_DAL@NYG,4,2,17,DAL,NYG,3,2,66,(2:17) D.Murray left end to DAL 37 for 3 yards (K.Phillips). PENALTY on DAL-J.Witten Offensive Holding 10 yards enforced at DAL 36. Officially a rush for 2 yards.,24,17,2012
20120905_DAL@NYG,4,2,11,DAL,NYG,3,10,74,(2:11) T.Romo pass short left to K.Ogletree to DAL 39 for 13 yards (J.Tryon).,24,17,2012
20120905_DAL@NYG,4,2,0,DAL,NYG,1,10,61,(2:00) T.Romo kneels to DAL 38 for -1 yards.,24,17,2012
20120905_DAL@NYG,4,1,24,DAL,NYG,2,11,62,(1:24) T.Romo kneels to DAL 35 for -3 yards.,24,17,2012
20120905_DAL@NYG,4,0,38,DAL,NYG,3,14,65,(:38) T.Romo kneels to DAL 34 for -1 yards.,24,17,2012
20120905_DAL@NYG,4,0,38,DAL,NYG,,,65,                      ,24,17,2012
20120909_IND@CHI,1,0,0,IND,CHI,,,65,P.McAfee kicks 67 yards from IND 35 to CHI -2. D.Hester to CHI 16 for 18 yards (J.Hickman).,0,0,2012
20120909_IND@CHI,1,59,56,CHI,IND,1,10,84,(14:56) J.Cutler sacked at CHI 4 for -12 yards (R.Mathis).,0,0,2012
20120909_IND@CHI,1,59,22,CHI,IND,2,22,96,(14:22) PENALTY on CHI-G.Carimi False Start 2 yards enforced at CHI 4 - No Play.,0,0,2012
20120909_IND@CHI,1,59,1,CHI,IND,2,24,98,(14:01) M.Forte left guard to CHI 5 for 3 yards (J.King; M.Fokou).,0,0,2012
20120909_IND@CHI,1,58,21,CHI,IND,3,21,95,(13:21) (Shotgun) J.Cutler pass incomplete short right to A.Jeffery.,0,0,2012
20120909_IND@CHI,1,58,15,CHI,IND,4,21,95,(13:15) (Punt formation) A.Podlesh punts 45 yards to 50 Center-P.Mannelly fair catch by L.Brazill.,0,0,2012
20120909_IND@CHI,1,58,8,IND,CHI,1,10,50,(13:08) A.Luck pass short right to D.Jones to CHI 42 for 8 yards (L.Briggs).,0,0,2012
20120909_IND@CHI,1,57,28,IND,CHI,2,2,42,(12:28) D.Brown right tackle to CHI 44 for -2 yards (I.Idonije).,0,0,2012
20120909_IND@CHI,1,56,45,IND,CHI,3,4,44,(11:45) (Shotgun) A.Luck pass incomplete short left to R.Wayne.,0,0,2012
20120909_IND@CHI,1,56,40,IND,CHI,4,4,44,(11:40) (Punt formation) P.McAfee punts 41 yards to CHI 3 Center-M.Overton downed by IND-J.Hickman. CHI-C.Tillman was injured during the play. His return is Questionable.,0,0,2012
20120909_IND@CHI,1,56,28,CHI,IND,1,10,97,(11:28) (Shotgun) J.Cutler pass short right intended for M.Forte INTERCEPTED by J.Freeman at CHI 4. J.Freeman for 4 yards TOUCHDOWN.,0,0,2012
20120909_IND@CHI,1,56,28,IND,CHI,,,97,A.Vinatieri extra point is GOOD Center-M.Overton Holder-P.McAfee.,0,0,2012
20120909_IND@CHI,1,56,28,IND,CHI,,,97,P.McAfee kicks 65 yards from IND 35 to end zone Touchback.,7,0,2012
20120909_IND@CHI,1,56,23,CHI,IND,1,10,80,(11:23) M.Forte left tackle to CHI 20 for no gain (K.Conner).,0,7,2012
20120909_IND@CHI,1,55,47,CHI,IND,2,10,80,(10:47) J.Cutler pass incomplete short right to E.Rodriguez [K.Conner].,0,7,2012
