Country,City,AccentCity,Region,Population,Latitude,Longitude
zr,gungu,Gungu,07,,-1.6519444,28.8769444
kr,cheimpyong,Cheimpyong,03,,35.520011,127.423161
ma,douar oulad salem,Douar Oulad Salem,52,,34.564834,-5.77303
fr,le vizoc,Le Vizoc,A2,,48.521247,-4.312492
ao,carumapia,Carumapia,08,,-12.6,15.6
fr,poisvilliers,Poisvilliers,A3,,48.508448,1.468874
pg,awungi,Awungi,10,,-4.7833333,151.8166667
cz,skripp,Skripp,85,,49.818452,17.910362
ua,malaya savustyanivka,Malaya Savustyanivka,01,,48.795057,29.918696
kr,yutgul,Yutgul,13,,37.6579,127.2008
ve,wico,Wico,02,,9.0,-64.1666667
td,oum-chalouba,Oum-Chalouba,03,,15.8,20.7666667
ir,kalateh-ye golgir,Kalateh-ye Golgir,42,,35.108986,58.338067
es,valdesogo de arriba,Valdesogo de Arriba,55,,42.547389,-5.513818
us,rhymes,Rhymes,LA,,32.3788889,-91.8988889
sy,as sabuniyah,As Sabuniyah,11,,34.5833333,37.0166667
ir,mehdi,Mehdi,15,,31.8303,48.851
ir,amirabad,Amirabad,10,,33.3424,46.2837
us,millwood,Millwood,KS,,39.3838889,-95.1166667
ro,zarnesti,Zarnesti,03,,45.033333,24.766667
mm,lewainggyi,Lèwainggyi,09,,18.25,96.7166667
